%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1573333107979803368,42511,1573333107940136983,imu,0.0,0.0,0.0,0.0,-0.000790983217004,-0.00114249252836,-0.00263509810466,0.187076708002,-0.046008901968,9.725438216
1573333107995771229,42512,1573333107956136983,imu,0.0,0.0,0.0,0.0,0.00131824718403,0.00272445896236,-0.00146398217657,0.187469108019,-0.0517968022156,9.73515011642
1573333108011788559,42513,1573333107972136983,imu,0.0,0.0,0.0,0.0,-0.000263719249976,-0.00184551115106,0.000995535805338,0.188450108061,-0.041496301775,9.68845451442
1573333108027774977,42514,1573333107988136983,imu,0.0,0.0,0.0,0.0,0.00131824718403,-8.79645943005e-05,-0.00163956229932,0.187861508036,-0.0548379023457,9.74211521671
1573333108043789696,42515,1573333108004136983,imu,0.0,0.0,0.0,0.0,-0.00123045712266,-8.79645943005e-05,0.000702669556853,0.185212807922,-0.0413982017708,9.6926728146
1573333108059804791,42516,1573333108020136983,imu,0.0,0.0,0.0,0.0,0.00202126580673,-0.000615228561328,0.000409977841293,0.185016607914,-0.0482652020645,9.75526061728
1573333108075755282,42517,1573333108036136983,imu,0.0,0.0,0.0,0.0,-0.00166975649538,0.000615228561328,0.000468446371235,0.188646308069,-0.0451260019302,9.72455531596
1573333108091830851,42518,1573333108052136983,imu,0.0,0.0,0.0,0.0,-0.000615228561328,-0.000263719249976,-0.000819781149662,0.193453208275,-0.0394362016869,9.6646162134
1573333108107815145,42519,1573333108068136983,imu,0.0,0.0,0.0,0.0,-0.00290021361804,-0.000439473905652,-0.000585557964044,0.194826608334,-0.0533664022827,9.7394665166
1573333108123761671,42520,1573333108084136983,imu,0.0,0.0,0.0,0.0,-0.00202126580673,0.000703018622703,-0.000878424212529,0.191196908178,-0.0456165019512,9.72043511579
1573333108139754891,42521,1573333108100136983,imu,0.0,0.0,0.0,0.0,0.00123045712266,-0.00123045712266,0.001815316955,0.193060808258,-0.0525816022491,9.72288761589
1573333108155821810,42522,1573333108116136983,imu,0.0,0.0,0.0,0.0,0.00175772108968,-0.00193347574536,0.00146398217657,0.195120908346,-0.0499329021358,9.71857121571
1573333108171813160,42523,1573333108132136983,imu,0.0,0.0,0.0,0.0,0.00210923040104,0.000351509311352,0.000527089434102,0.189725408115,-0.0482652020645,9.71798261568
1573333108187776846,42524,1573333108148136983,imu,0.0,0.0,0.0,0.0,0.00149400183971,-0.00114249252836,0.00163956229932,0.189333008099,-0.0495405021191,9.72377051593
1573333108203806710,42525,1573333108164136983,imu,0.0,0.0,0.0,0.0,0.000175754655676,-0.00149400183971,0.000995535805338,0.184820407906,-0.0454203019428,9.70267901503
1573333108219835632,42526,1573333108180136983,imu,0.0,0.0,0.0,0.0,-0.00175772108968,-0.00149400183971,0.00146398217657,0.184329907885,-0.0501291021442,9.73181471627
1573333108235832931,42527,1573333108196136983,imu,0.0,0.0,0.0,0.0,0.00158196643401,-0.00105452793405,-0.000117111592809,0.191393108187,-0.0447336019135,9.72190661585
1573333108251843625,42528,1573333108212136983,imu,0.0,0.0,0.0,0.0,-0.000615228561328,0.00149400183971,-0.00304507594595,0.189333008099,-0.0492462021065,9.70267901503
1573333108267768482,42529,1573333108228136983,imu,0.0,0.0,0.0,0.0,0.00105452793405,8.79645943005e-05,0.00076131261972,0.188842508078,-0.0484614020729,9.72377051593
1573333108283803372,42530,1573333108244136983,imu,0.0,0.0,0.0,0.0,0.00184551115106,-0.00184551115106,-0.00316218753876,0.18913680809,-0.0507177021694,9.72043511579
1573333108299799128,42531,1573333108260136983,imu,0.0,0.0,0.0,0.0,0.0118643991892,0.0278592945862,-0.00456752665247,0.185801407948,-0.0486576020813,9.71307761547
1573333108315804189,42532,1573333108276136983,imu,0.0,0.0,0.0,0.0,0.00632769120311,0.0265410474022,-0.00409908028123,0.190510208149,-0.0499329021358,9.72377051593
1573333108331785220,42533,1573333108292136983,imu,0.0,0.0,0.0,0.0,-0.00852471166552,0.018104125798,0.00649995520028,0.18678240799,-0.0293319012547,9.70827071527
1573333108347842873,42534,1573333108308136983,imu,0.0,0.0,0.0,0.0,0.00632769120311,0.0243440269397,-0.00562153098775,0.188842508078,-0.0535626022911,9.71798261568
